id,hoard,mint,mint_uri,mint_info,count,min_count,max_count,count_info,denomination,denommenation_uri,material,material_uri,ruler,ruler_uri,type,obv_type,rev_type,countermark,intrusion,notes,sources,weight (g),rotation,diam
10731,"ch10,313",Sidon,https://pleiades.stoa.org/places/678393,,5,,,+,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,Phoenician-weight; dated S.E.175-177,,,,,,,,,
10732,"ch10,314",Barbarous imitation based on Western prototype,,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,"Demetrius II, 1st reign",,,,,,,,,,,
10733,"ch10,314",Tarsus,https://pleiades.stoa.org/places/648789,"?; ""royal"" workshop",1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,,,,,
10734,"ch10,314",Tarsus,https://pleiades.stoa.org/places/648789,"""royal"" workshop",1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,,,,,
10735,"ch10,314",Antioch,https://pleiades.stoa.org/places/658381,,163,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,,,,,
10736,"ch10,314",Unattributed issue w. affinities to Seleuceia In Pieria,,,2,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,,,,,
10737,"ch10,314",Uncert. Mint 101,,,2,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,,,,,
10738,"ch10,314",Uncert. Mint 102,,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,,,,,
10739,"ch10,314","Unattributed issue of Syria, northern Mesopotamia or Cilicia",,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,,,,,
10740,"ch10,314",Cappadocian,https://pleiades.stoa.org/places/628949,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,, Class X of local style,,,,,,,,,
10741,"ch10,315",Tyre,https://pleiades.stoa.org/places/678437,,21,,,,,,,,Antiochus VII,,Yrs. 177-183,,,,,,,,,
10742,"ch10,315",Tyre,https://pleiades.stoa.org/places/678437,,29,,,,,,,,Demetius II,,Yrs. 183-186,,,,,,,,,
10743,"ch10,316",,,,21,,,,tetr,http://nomisma.org/id/tetradrachm,,,Volagases III,,,,,,,,,,,
10744,"ch10,317",Rhodes,https://pleiades.stoa.org/places/590030,Pseudo,3,,,,,,,,,,,,,,,A,,,,
10745,"ch10,317",Rhodes,https://pleiades.stoa.org/places/590030,,2,,,,,,,,,,plinthophori; Group A,,,,,A,,,,
10746,"ch10,317",Rhodes,https://pleiades.stoa.org/places/590030,,33,,,,,,,,,,plinthophori; Group B,,,,,A,,,,
10747,"ch10,317",Rhodes,https://pleiades.stoa.org/places/590030,,1,,,,,,,,,,plinthophori; Group D,,,,,A,,,,
10748,"ch10,317",Rhodes,https://pleiades.stoa.org/places/590030,,6,,,,,,,,,,plinthophori; Uncertain Groups,,,,,A,,,,
10749,"ch10,317",Lycian League,https://pleiades.stoa.org/places/638965,,8,,,,,,http://nomisma.org/id/ae,,,,I,,,,,A,,,,
10750,"ch10,317",Lycian League,https://pleiades.stoa.org/places/638965,,2,,,,,,,,,,II; AR,,,,,A,,,,
10751,"ch10,317",Lycian League,https://pleiades.stoa.org/places/638965,,11,,,,,,http://nomisma.org/id/ae,,,,III,,,,,A,,,,
10752,"ch10,317",Lycian League,https://pleiades.stoa.org/places/638965,,1,,,,,,,,,,IV; AR,,,,,A,,,,
10753,"ch10,317",Lycian League,https://pleiades.stoa.org/places/638965,,4,,,,,,http://nomisma.org/id/ae,,,,V,,,,,A,,,,
10754,"ch10,317",Antiphellus,https://pleiades.stoa.org/places/638749,,1,,,,,,,,,,,,,,,A,,,,
10755,"ch10,317",Rome,https://pleiades.stoa.org/places/423025,,2,,,,,,http://nomisma.org/id/ae,,,,4th cent. AD,,,,,A,,,,
10756,"ch10,317",Illegible,,,7,,,,,,,,,,,,,,,A,,,,
